Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths_Rate,Recovered_Rate,Deaths / 100 Recovered,No. of countries,Recovery Rate,Fatality Rate
9777487,494782,4875774,4406931,191346,4827,106316,5.06,49.87,10.15,187,0.4986735344163587,0.05060420944563772
9955597,499268,4981808,4474521,178110,4486,106034,5.01,50.04,10.02,187,0.5004027382787792,0.05014947873040662
10117227,502357,5070592,4544278,162349,3089,88784,4.97,50.12,9.91,187,0.5011839706670612,0.04965362544499594
10275799,506078,5164494,4605227,158572,3721,93902,4.92,50.26,9.8,187,0.5025880712536319,0.04924950361524199
10449697,511210,5281459,4657028,173898,5132,116965,4.89,50.54,9.68,187,0.5054174298068164,0.04892103570084377
10667386,516221,5397083,4754082,217689,5011,115624,4.84,50.59,9.56,187,0.505942411758607,0.0483924552837968
10875091,521341,5681477,4672273,207705,5120,284394,4.79,52.24,9.18,187,0.5224302950660367,0.047939001154105286
11078585,526336,5790942,4761307,203495,4995,109465,4.75,52.27,9.09,187,0.5227149496077342,0.0475093163973558
11272152,530705,5986375,4755072,193567,4369,195433,4.71,53.11,8.87,187,0.5310764971941472,0.04708107200825539
11454847,534150,6105546,4815151,182695,3445,119171,4.66,53.3,8.75,187,0.5330098254476904,0.04663091527979379
11622190,537947,6228768,4855475,167343,3797,123222,4.63,53.59,8.64,187,0.5359375470543848,0.04628619907263605
11833034,544054,6373513,4915467,210844,6107,144745,4.6,53.86,8.54,187,0.5386203572135431,0.045977557404128136
12044836,549373,6531016,4964447,211802,5319,157503,4.56,54.22,8.41,187,0.5422253985027277,0.045610666679064785
12273063,554831,6665237,5052995,228227,5458,134221,4.52,54.31,8.32,187,0.5430785289703149,0.045207215183365394
12505640,560142,6804254,5141244,232577,5311,139017,4.48,54.41,8.23,187,0.5440948244152238,0.044791150233014866
12721968,565039,6929711,5227218,216328,4897,125457,4.44,54.47,8.15,187,0.5447043256200613,0.04441443336439771
